epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,30610.9,1.45108,1.54984,1.58572,0.48318,0.52579,0.54162,0.3021,1.46414,nan,1.6068,0.00510824,0.00510824,0.00510824
44,31050.8,1.42237,1.51875,1.56986,0.59739,0.5468,0.58887,0.32934,1.40527,1.44198,1.54997,0.00499176,0.00499176,0.00499176
45,31863.5,1.43295,1.51382,1.5755,0.5,0.56693,0.57442,0.31422,1.45123,1.43888,1.58986,0.00487529,0.00487529,0.00487529
46,32577.5,1.42647,1.50955,1.57721,0.63989,0.50105,0.56521,0.31484,1.43372,1.45128,1.588,0.00475882,0.00475882,0.00475882
47,33311.8,1.40091,1.46789,1.54861,0.55874,0.57473,0.57252,0.32894,1.39987,1.38961,1.54707,0.00464235,0.00464235,0.00464235
48,34121.9,1.40293,1.48793,1.56103,0.5957,0.51249,0.55456,0.31735,1.41302,1.43116,1.55861,0.00452588,0.00452588,0.00452588
49,34726.7,1.41167,1.50516,1.55115,0.7033,0.55729,0.63148,0.35362,1.3923,1.40626,1.55445,0.00440941,0.00440941,0.00440941
50,35286.1,1.39043,1.47429,1.54158,0.64161,0.55047,0.61427,0.35037,1.37772,1.33247,1.53517,0.00429294,0.00429294,0.00429294
51,36059.1,1.38893,1.46788,1.53641,0.64579,0.56064,0.61523,0.35107,1.36637,1.34818,1.53133,0.00417647,0.00417647,0.00417647
52,36743.3,1.36868,1.45831,1.53057,0.58651,0.55601,0.59082,0.34417,1.3844,1.33823,1.55476,0.00406,0.00406,0.00406
53,37294.6,1.37399,1.44873,1.52753,0.57407,0.5685,0.61574,0.3494,1.36325,1.37177,1.51423,0.00394353,0.00394353,0.00394353
54,38018.2,1.34748,1.42708,1.51143,0.58383,0.62013,0.61826,0.36659,1.34441,1.31044,1.51916,0.00382706,0.00382706,0.00382706
55,38846.7,1.35674,1.40828,1.52003,0.67074,0.54599,0.64822,0.39625,1.31516,1.28552,1.48542,0.00371059,0.00371059,0.00371059
56,39573.1,1.35384,1.42464,1.5237,0.6228,0.59671,0.64297,0.3788,1.3405,1.26908,1.49889,0.00359412,0.00359412,0.00359412
57,40298.6,1.34852,1.40459,1.50616,0.67519,0.56145,0.65917,0.39339,1.30252,1.24945,1.47909,0.00347765,0.00347765,0.00347765
58,41016.4,1.34247,1.39655,1.50591,0.68148,0.56674,0.66675,0.39178,1.30594,1.24854,1.4718,0.00336118,0.00336118,0.00336118
59,41821.8,1.31885,1.37224,1.49515,0.63915,0.55726,0.63709,0.38119,1.31241,1.31994,1.46812,0.00324471,0.00324471,0.00324471
60,42542.9,1.33543,1.38239,1.50616,0.56884,0.62771,0.65308,0.39836,1.30668,1.26572,1.46425,0.00312824,0.00312824,0.00312824
61,43204.1,1.3269,1.34375,1.49101,0.61901,0.64389,0.65675,0.39235,1.28824,1.20743,1.44147,0.00301176,0.00301176,0.00301176
62,43871.9,1.31079,1.34435,1.47692,0.62008,0.59336,0.6497,0.3977,1.27896,1.24551,1.43164,0.00289529,0.00289529,0.00289529
63,44598.3,1.32233,1.34503,1.49731,0.67,0.58797,0.66683,0.41122,1.26596,1.24114,1.4393,0.00277882,0.00277882,0.00277882
64,45317.5,1.3104,1.34076,1.48612,0.64236,0.63377,0.68989,0.42428,1.25382,1.21721,1.42306,0.00266235,0.00266235,0.00266235
65,46049.6,1.33125,1.33118,1.49127,0.61918,0.66818,0.67397,0.41089,1.27075,1.19639,1.43727,0.00254588,0.00254588,0.00254588
66,46853.3,1.29258,1.31252,1.46533,0.68342,0.58842,0.69415,0.41752,1.27256,1.19945,1.43506,0.00242941,0.00242941,0.00242941
67,47454.6,1.30518,1.31204,1.4797,0.61237,0.65497,0.69437,0.42372,1.24348,1.17327,1.43105,0.00231294,0.00231294,0.00231294
68,48238.5,1.28539,1.31384,1.4617,0.74288,0.5879,0.71548,0.44537,1.21976,1.12925,1.39546,0.00219647,0.00219647,0.00219647
69,48911.2,1.28595,1.29659,1.45315,0.75679,0.60686,0.72095,0.44296,1.2103,1.13071,1.38418,0.00208,0.00208,0.00208
70,49713.9,1.26687,1.28869,1.45567,0.6141,0.66342,0.69727,0.43043,1.20547,1.13451,1.39177,0.00196353,0.00196353,0.00196353
71,50445.2,1.27918,1.2918,1.45457,0.74335,0.61217,0.72553,0.4519,1.21445,1.14606,1.4033,0.00184706,0.00184706,0.00184706
72,51169.7,1.2564,1.27995,1.44234,0.73549,0.60769,0.71901,0.44926,1.20279,1.14877,1.39434,0.00173059,0.00173059,0.00173059
73,51926.9,1.25013,1.26384,1.44647,0.65264,0.70095,0.7412,0.46306,1.18406,1.10756,1.37247,0.00161412,0.00161412,0.00161412
74,52576.7,1.25021,1.2496,1.44099,0.69237,0.6718,0.72949,0.45572,1.18009,1.10362,1.37395,0.00149765,0.00149765,0.00149765
75,53286.6,1.25045,1.24609,1.43828,0.73981,0.6259,0.7354,0.46201,1.19278,1.0868,1.37735,0.00138118,0.00138118,0.00138118
76,53950.1,1.24109,1.16179,1.44691,0.69042,0.67573,0.73368,0.45944,1.17862,1.08205,1.36766,0.00126471,0.00126471,0.00126471
77,54595.1,1.19486,1.08675,1.42871,0.80369,0.6267,0.75258,0.48215,1.15131,1.04513,1.35921,0.00114824,0.00114824,0.00114824
78,55313.5,1.1895,1.06522,1.41965,0.71721,0.69478,0.77002,0.48918,1.15957,1.03404,1.34493,0.00103176,0.00103176,0.00103176
79,56021.4,1.17239,1.04321,1.41024,0.67017,0.73264,0.77148,0.49314,1.14919,1.02077,1.34415,0.000915294,0.000915294,0.000915294
80,56661.5,1.15542,1.04119,1.39713,0.7403,0.70174,0.78721,0.49843,1.13266,1.01421,1.33103,0.000798824,0.000798824,0.000798824
81,57241.5,1.15392,1.03207,1.39529,0.69045,0.74352,0.77968,0.50046,1.12258,0.97836,1.3278,0.000682353,0.000682353,0.000682353
82,57962.3,1.14433,1.00389,1.38416,0.6973,0.71409,0.78605,0.50934,1.11764,0.97331,1.32015,0.000565882,0.000565882,0.000565882
83,58681.6,1.1404,1.02349,1.39766,0.69522,0.72796,0.77772,0.50681,1.10673,0.96989,1.3081,0.000449412,0.000449412,0.000449412
84,59438.4,1.13154,1.004,1.38159,0.74229,0.72535,0.79364,0.5137,1.09889,0.96763,1.3068,0.000332941,0.000332941,0.000332941
85,60024.1,1.12568,1.00652,1.37122,0.7515,0.72586,0.80159,0.52075,1.0918,0.95439,1.30238,0.000216471,0.000216471,0.000216471
